user_id,total_quantity,total_spend
1,4,1239.38
2,95,59041.49
3,3,52.1
4,5,1713.3
5,4,2199.82
6,16,8119.88
9,14,15115.8
10,2,743.16
12,11,7736.16
14,55,47920.1
16,9,1639.31
17,1,1347.04
18,1,943.89
19,4,883.29
20,1,1375.6
21,4,1019.92
22,6,796.97
24,1,1239.38
29,3,705.02
30,3,1194.47
31,1,1707.62
32,4,943.89
33,4,91.95
34,10,7182.45
35,2,834.61
39,5,1019.92
41,3,1474.89
42,5,1481.7
43,18,6045.81
44,3,1239.81
45,1,826.36
46,2,553.49
82,4,3996
98,43,41516.61
118,17,19362.45
125,2,1998
144,55,51745.12
160,5,4995
248,4,42.4
293,13,6549.63
311,3,42.4
334,4,1298.86
343,8,5484.18
353,42,26821.25
359,2,1998
381,3,2997
394,72,50165.22
535,15,14985
537,5,6878
592,1,1531.09
631,5,4995
643,4,1199.78
656,1,524.04
659,81,90388.67
693,5,9371.25
698,3,826.36
720,9,6518.04
755,9,7827.61
850,2,1298.86
910,1,834.61
931,12,3392.34
938,14,7025.42
957,31,22609.6
998,2,1998
1004,17,21005.14
1020,12,3981.97
1051,2,776.43
1052,19,16035.59
1070,7,7369.6
1071,5,4995
1074,35,36307.37
1082,17,11098.89
1087,27,28396.66
1108,3,213.28
1134,29,24920.59
1145,10,11201.92
1191,5,743.16
1284,8,3039.4
1291,16,17140.49
1395,7,6993
1406,3,2997
1407,22,18174.9
1430,8,2873.49
1434,7,2774.43
1453,5,705.02
1454,20,13608.02
1572,69,56809.76
1577,5,4995
1602,2,1998
1614,5,2487.18
1640,95,11199.4
1703,4,3950.49
1732,25,21127.87
1736,29,39892.4
1762,5,7655.45
1842,68,61452.28
1850,4,549.37
1882,10,11873
1890,2,2751.2
1905,14,7330.77
1907,5,1791.07
1921,15,14985
2050,4,5324.38
2056,5,4995
2060,54,35258.2
2096,12,12406.44
2116,3,2161.06
2140,3,489.18
2160,20,14708.71
2172,8,4701.02
2197,4,439.53
2211,5,4995
2219,1,234.16
2237,12,10366.6
2252,43,31021.41
2321,28,27653.58
2331,45,45636.6
2379,16,7918.46
2387,9,7336.01
2410,3,549.9
2418,5,4995
2422,1,999
2444,22,21021.4
2450,3,4126.8
2455,9,8922.09
2457,12,10743.2
2463,14,2282.84
2478,31,25246.01
2496,3,234.16
2500,8,8368.6
2506,2,1998
2524,20,19980
2544,5,834.61
2546,1,918.33
2553,11,13248.6
2592,2,326.12
2606,4,3996
2628,2,1998
2661,23,21781.01
2667,10,11873
2677,298,135710.84
2700,8,7809.96
2707,5,4995
2724,2,1194.47
2734,1,1531.09
2818,10,9990
2853,8,6234.81
2882,16,16224.38
2885,4,3996
2958,17,12803.3
2978,2,1239.38
2996,43,41885.62
2999,5,4995
3016,7,7760.77
3026,6,2013.65
3037,16,12213.53
3049,25,5810.3
3104,245,229090.05
3113,23,20455.89
3150,48,40851.13
3162,31,29118.05
3184,13,2119.78
3194,10,9990
3200,4,1675.78
3215,4,1936.78
3220,16,15255.84
3227,65,51253.35
3235,7,8589.27
3279,5,4995
3296,3,943.89
3304,4,1199.78
3390,2,1998
3393,1,953.49
3406,55,61528.94
3415,20,19593.41
3438,2,1675.78
3439,5,4995
3482,15,17776.69
3496,2,1239.81
3557,64,58210.21
3567,4,213.28
3577,3,2951.49
3593,35,32281.79
3598,3,834.61
3623,15,14985
3651,15,10979.26
3653,3,2997
3656,5,4995
3676,7,8826.12
3685,4,5502.4
3705,45,44975.92
3718,32,25574.34
3743,9,5362.8
3745,40,15847.47
3777,5,4995
3813,1,999
3841,3,2997
3867,16,15984
3959,4,1298.86
3983,3,36.61
4003,8,3589.73
4009,49,29408.17
4023,10,9990
4039,5,815.3
4041,63,47429.69
4047,22,20053.22
4052,29,13712.87
4062,1,999
4098,15,11595.73
4127,25,9988.29
4134,8,9498.4
4136,32,31910.77
4180,4,3394.72
4188,6,7123.8
4218,15,2445.9
4219,10,12650.45
4221,3,1375.6
4234,15,20634
4242,19,17465.7
4258,67,63521.19
4293,6,5994
4309,50,37727.98
4317,35,24342.1
4332,3,2997
4411,41,37742
4414,4,163.06
4416,34,5544.04
4463,5,4995
4502,5,4995
4536,198,204059.09
4539,2,1998
4620,50,47951.41
4730,56,40032.39
4758,12,11715.69
4765,5,4995
4781,1,999
4799,66,65189.23
4818,8,8745.2
4834,12,11669.43
4836,3,553.49
4845,16,14022.61
4861,63,39775.69
4915,5,3240.38
4930,13,12541.49
4946,50,24859.21
4979,1,999
5013,2,2479.62
5106,71,70929
5108,15,7133
5134,3,2161.06
5164,12,7788.6
5228,8,7992
5277,14,7463.9
5328,15,10805.3
5334,3,1481.7
5407,20,19069.8
5429,18,17982
5437,8,1304.48
5443,18,2997
5449,5,4995
5452,5,4995
5531,4,1194.47
5534,1,999
5559,11,12193.05
5568,26,23252.52
5611,38,43421.58
5614,68,33492.65
5627,229,218091.21
5644,18,11105.16
5653,5,4995
5674,4,5060.18
5680,43,40173.28
5694,49,49912.52
5715,12,11988
5722,10,7762.45
5747,3,834.61
5756,58,63631.37
5758,24,19114.65
5807,3,3718.14
5836,10,1630.6
5847,109,95695.48
5971,24,19204.5
5975,6,2832.61
6022,45,34965
6136,4,91.95
6173,15,15967.39
6201,40,40792.75
6209,20,4485.74
6237,3,1095.44
6240,5,1298.86
6249,5,4995
6264,74,13986
6279,5,4995
6322,34,30606.72
6329,53,50706.91
6386,57,44376.04
6435,42,24786.7
6454,12,16507.2
6475,1,999
6492,4,6124.36
6561,4,3996
6569,4,52.1
6576,9,5738.16
6599,13,4215.66
6621,27,26973
6698,50,44142.05
6727,20,12971.97
6747,17,17323.8
6762,7,3345.04
6771,2,2850.49
6786,3,1239.38
6789,35,27926.49
6800,2,1019.92
6802,243,48021.82
6819,5,4995
6822,3,1481.7
6835,7,7468.89
6846,78,61014.56
6857,2,1906.98
6858,63,75073.49
6865,3,953.49
6870,5,7655.45
6871,20,19980
6900,1,999
6901,19,13721.48
6916,27,26973
6921,6,1159.83
6925,21,17982
6933,29,19086.68
6992,62,54865.79
7007,4,1199.78
7096,6,2997
7255,135,115876.22
7302,68,25538.19
7339,2,1474.89
7341,1,953.49
7347,4,439.53
7354,88,95558.12
7372,45,30734.67
7399,5,3514.73
7438,15,13951.9
7439,5,183.05
7474,3,2860.47
7539,77,85809.3
7545,5,4995
7547,1,1194.47
7548,5,1531.09
7577,21,18416.37
7648,4,953.49
7730,98,92307.74
7775,3,2997
7821,2,943.89
7847,81,13480.19
7864,2,743.16
7881,4,4050.38
7912,106,97179.47
7914,3,1874.25
7959,49,29935.5
8061,8,5800.14
8074,2,1067.16
8076,9,9575.24
8186,27,27408.27
8190,27,22713.15
8192,3,2997
8211,22,15123.12
8218,50,49654.08
8226,7,2676.17
8228,2,1998
8281,113,23755.59
8287,504,195732.9
8306,31,18429.9
8318,19,21556.58
8319,14,17752
8362,13,14245.18
8374,10,5534.9
8390,2,1035.61
8420,56,17940.72
8431,29,26913.11
8450,24,2917.9
8466,5,1298.86
8470,3,553.49
8471,10,4995
8474,23,25482.06
8488,37,39222.6
8492,1,1067.16
8512,83,73533.72
8540,14,10642.24
8541,1,999
8549,33,25957.99
8556,34,16983
8577,8,3940.89
8579,4,3813.96
8580,5,4995
8606,17,11404.98
8612,19,23524.45
8617,2,1998
8625,46,25392.44
8626,6,978.36
8664,3,2161.06
8673,134,144494.59
8678,13,9955.9
8704,31,29715.58
8707,5,4995
8721,133,124778.19
8749,19,15634.88
8765,25,26858
8774,14,9236.8
8785,7,6765.45
8793,4,3996
8815,47,33670.23
8827,5,4995
8853,8,6749.9
8868,77,77910.54
8909,356,151347.09
8934,2,1998
8962,6,3605.51
8976,63,54074.2
8993,61,75017.55
8996,4,1998
9008,30,27335.73
9014,3,2115.55
9026,5,8378.9
9037,45,8644.02
9050,2,1298.86
9057,25,16135.63
9059,4,3996
9104,28,24213.11
9152,4,4947.78
9155,4,3996
9156,1,1675.78
9160,66,33722.52
9171,217,81269.85
9181,234,83097.13
9194,2,553.49
9197,4,770.47
9209,5,776.43
9210,24,23976
9217,12,14567.12
9218,4,3996
9237,28,8345.54
9245,96,88660.13
9259,57,45436.44
9291,8,4494
9299,15,22129.4
9301,17,11018.84
9315,2,826.36
9339,9,4811.3
9345,6,2513.27
9351,54,51077.54
9365,64,34570.03
9385,6,2997
9408,9,8991
9424,16,6847.02
9490,2,1998
9491,94,96896.49
9492,21,26491.26
9518,10,5086.95
9519,100,98043.88
9555,18,5893.03
9573,2,1906.98
9580,40,26539.4
9581,4,2164.96
9631,5,1651.24
9636,5,815.3
9670,8,4250.96
9680,85,75787.77
9692,10,15310.9
9728,5,4995
9737,35,5707.1
9742,3,1520.47
9761,7,6108.8
9766,2,1998
9801,75,50730.25
9802,78,53957.66
9805,5,6878
9817,3,1707.62
9818,7,2318.84
9825,6,5994
9859,10,10898.69
9915,35,23718.24
9922,5,4995
9936,14,6993
9953,1,1675.78
9983,15,10874.2
10020,8,6462.5
10028,4,1850.59
10044,64,50181.1
10051,5,4995
10054,13,8241.92
10058,6,2650.24
10071,5,1474.89
10084,2,1298.86
10090,1,1675.78
10141,10,1630.6
10153,4,234.16
10158,56,49786.17
10171,5,4995
10187,39,22766.46
10200,5,2487.18
10258,5,4995
10268,48,50695.95
10298,7,5991.58
10328,38,37962
10331,31,9154.06
10344,194,179453.33
10351,20,815.3
10376,6,5671.78
10392,47,51318.77
10413,2,1998
10414,5,943.89
10428,32,29685.74
10430,3,2997
10437,23,20917.43
10438,167,45833.61
10440,9,7350.29
10447,156,73451.67
10472,143,105165.16
10483,8,3996
10509,21,20100.49
10516,37,22773.52
10520,5,1325.12
10522,15,7461.54
10528,5,4762.62
10562,166,212557.59
10604,2,1019.92
10605,152,132635.54
10614,4,5125.8
10640,5,7655.45
10651,2,1998
10652,11,9248.21
10654,10,11873
10655,5,5748.2
10668,13,11703.3
10728,9,13274.01
10734,5,4995
10765,18,2319.45
10768,1,770.47
10805,15,19528.45
10816,17,12018.19
10829,4,3996
10847,5,2487.18
10850,58,50567.29
10856,3,2997
10867,259,121884.98
10872,5,4995
10877,96,93800.35
10878,40,3261.2
10898,59,20819.84
10923,10,4995
10975,5,6878
10982,1,999
10985,9,8991
10987,14,15582.27
10993,166,133028.22
10999,4,3904.98
11003,14,13867.13
11013,5,6878
11021,11,10026.61
11036,1,1298.86
11050,14,13986
11072,3,2997
11074,25,10805.3
11097,72,15084.08
11110,83,78692.36
11160,2,1239.81
11187,3,163.06
11206,10,9990
11214,1,776.43
11229,7,6993
11251,4,4635.67
11255,68,63100.06
11294,25,10442.21
11327,17,22632
11328,54,52463.94
11331,10,1630.6
11332,24,3587.32
11350,5,7655.45
11354,33,26260.95
11361,3,163.06
11453,79,52588.48
11457,3,1713.3
11460,5,699.24
11500,5,4995
11520,2,1998
11619,15,2329.84
11637,10,1630.6
11653,3,705.02
11656,5,4767.45
11662,2,1850.59
11681,5,815.3
11683,29,16086.8
11703,5,7655.45
11715,6,2195.44
11750,2,1998
11756,78,7471.33
11823,4,2233.1
11828,2,1531.09
11883,31,14851.97
11912,68,23017.34
11931,11,10989
11951,6,4147.76
11956,5,4995
11972,3,489.18
11982,6,8253.6
11987,1,1375.6
11993,6,5994
11997,6,4032.61
12023,5,815.3
12107,3,52.1
12108,1,999
12113,109,27943.58
12166,5,776.43
12231,1,1375.6
12268,21,20087.98
12338,5,1850.59
12339,9,9575.24
12347,1,999
12420,4,91.95
12525,6,6747.2
12587,15,19528.45
12632,7,6993
12636,6,5948.49
12644,70,18246.2
12719,4,4749.2
12745,2,3062.18
12746,62,58133.91
12750,5,4995
12774,7,3649.24
12775,8,3523.35
12787,11,5745.81
12798,177,176339.75
12802,5,6591.27
12823,7,6993
12860,9,10224.96
12950,3,1675.78
13002,77,81386.37
13009,5,2080.46
13018,5,1707.62
13068,5,7655.45
13095,2,1116.55
13233,15,11202.28
13238,2,160.83
13263,3,1095.44
13266,5,4995
13283,5,4995
13286,121,142819.18
13317,3,489.18
13329,12,11896.98
13352,60,56426.79
13387,18,2935.08
13406,9,1467.54
13443,39,28041.66
13467,25,27570.41
13474,17,13421.55
13545,6,5994
13552,19,18263.15
13562,5,160.83
13606,31,29370.76
13609,4,3750.2
13613,11,10488.39
13624,2,1199.78
13651,16,15574.41
13660,16,5646.67
13686,1,999
13710,22,21589.57
13784,23,4023.31
13809,3,4593.27
13810,21,16210.75
13856,2,1998
13945,5,4995
14018,5,6878
14024,2,1998
14026,15,18751
14027,11,7645.24
14029,59,59095.27
14056,5,4767.45
14057,8,1998
14062,3,1479.74
14067,25,11928.29
14073,9,10497.4
14077,6,1248.89
14152,2,73.22
14179,12,10150.64
14204,4,3996
14246,41,43806.46
14253,5,815.3
14264,3,2997
14304,173,163468.6
14325,128,102139.15
14345,25,20795.3
14355,9,6234.38
14382,12,1956.72
14393,10,9990
14420,40,25645
14450,6,978.36
14480,2,770.47
14484,9,4200.48
14489,5,6878
14491,2,743.16
14494,66,62166.93
14525,4,3996
14554,11,5647.24
14562,2,1998
14572,5,4995
14582,2,73.22
14603,2,1239.38
14656,17,16209.33
14662,2,326.12
14703,10,4995
14707,5,4995
14710,9,2346.39
14724,5,815.3
14727,25,20979
14738,5,4995
14781,2,1906.98
14818,231,230252.21
14934,52,26545.16
14961,11,10488.39
14968,285,22115.89
14986,9,3726.29
15012,3,3750.2
15015,5,815.3
15019,4,1715.55
15087,48,23154.73
15101,1,1474.89
15130,1,999
15152,26,26740.71
